Outcome,N,Pearson_r,Pearson_p,Significant,Spearman_rho,Effect_Size
clinical_risk_score,3934,-0.249,0.0000,Yes,-0.244,Small
process_quality_score,57753,0.134,0.0000,Yes,0.097,Small
